Reference	NC_014395.1	NC_014396.1	NC_014397.1
ROOT_HB29	HM745932.1	HM745931.1	HM745930.1
763/70	DQ380174.1	DQ380188.1	DQ375426.1
73HB1230	DQ380172.1	DQ380221.1	DQ375425.1
ArD38388	DQ380181.1	DQ380187.1	DQ375399.1
ANK6087	DQ380166.1	DQ380216.1	DQ375421.1
CARR1622	DQ380160.1	DQ380219.1	DQ375423.1
Entebbe	DQ380156.1	DQ380191.1	DQ375429.1
Hv-B375	DQ380161.1	DQ380218.1	DQ375422.1
KenyaIB8	DQ380176.1	DQ380190.1	DQ375427.1
MgH824	DQ380144.1	DQ380210.1	DQ375414.1
OS1	DQ380180.1	DQ380186.1	DQ375398.1
SA51	DQ380158.1	DQ380195.1	DQ375433.1
SA75	DQ380175.1	DQ380189.1	DQ375428.1
Saudi10911	DQ380170.1	DQ380197.1	DQ375401.1
ZC3349	DQ380152.1	DQ380207.1	DQ375412.1
Zinga	DQ380167.1	DQ380217.1	DQ375419.1
0094Garissa	EU574086.1	EU574055.1	EU574029.1
2008/00101	HE687307.1	HE687306.1	HE687305.1
3162	JF311386.1	JF311377.1	JF311368.1
1811Garissa	EU574068.1	EU574040.1	EU574014.1
Kenya-128b-15	KX096940.1	KX096939.1	KX096938.1
SA01-1322	KX096943.1	KX096942.1	KX096941.1
